5,5,0.900000,436
5,10,1.600000,254
5,20,2.100000,137
5,30,2.400000,104
5,40,4.100000,75
5,50,3.700000,96
5,60,4.100000,80
5,70,5.000000,75
5,80,4.300000,75
10,5,1.300000,513
10,10,3.100000,267
10,20,3.800000,190
10,30,5.500000,140
10,40,4.000000,104
10,50,4.400000,100
10,60,4.700000,79
10,70,5.500000,92
10,80,7.700000,71
15,5,1.600000,808
15,10,3.100000,331
15,20,4.800000,206
15,30,6.500000,132
15,40,6.200000,132
15,50,7.700000,87
15,60,5.900000,87
15,70,8.400000,86
15,80,5.300000,76
20,5,9.900000,584
20,10,1.300000,435
20,20,5.000000,283
20,30,7.500000,145
20,40,8.500000,128
20,50,7.700000,123
20,60,8.700000,91
20,70,8.700000,100
20,80,10.000000,79
30,5,11.900000,794
30,10,1.400000,681
30,20,8.400000,282
30,30,10.500000,209
30,40,10.200000,156
30,50,8.400000,139
30,60,15.800000,91
30,70,12.300000,103
30,80,12.500000,108
40,5,9.300000,1199
40,10,1.800000,777
40,20,5.600000,376
40,30,9.100000,263
40,40,10.800000,156
40,50,10.200000,136
40,60,11.300000,144
40,70,13.600000,111
40,80,13.900000,103
50,5,12.700000,1460
50,10,1.800000,941
50,20,5.300000,446
50,30,13.000000,282
50,40,14.200000,205
50,50,11.200000,181
50,60,13.200000,148
50,70,13.900000,123
50,80,17.100000,115
60,5,11.000000,1854
60,10,2.600000,1131
60,20,1.700000,594
60,30,9.200000,355
60,40,12.500000,254
60,50,17.700001,196
60,60,13.700000,164
60,70,13.400000,160
60,80,14.900000,156
70,5,13.300000,2094
70,10,1.900000,1281
70,20,2.600000,632
70,30,8.400000,403
70,40,13.400000,271
70,50,14.700000,225
70,60,13.600000,201
70,70,14.100000,168
70,80,15.600000,148
80,5,11.000000,2473
80,10,2.700000,1392
80,20,4.100000,684
80,30,5.700000,482
80,40,10.900000,314
80,50,14.000000,266
80,60,12.500000,217
80,70,15.800000,201
80,80,14.400000,181
90,5,13.200000,2742
90,10,1.700000,1599
90,20,4.800000,782
90,30,6.400000,518
90,40,12.500000,355
90,50,13.300000,279
90,60,12.600000,246
90,70,14.500000,217
90,80,13.800000,198
100,5,10.400000,3194
100,10,2.300000,1754
100,20,5.100000,844
100,30,6.800000,625
100,40,11.100000,404
100,50,13.500000,323
100,60,14.800000,280
100,70,16.000000,233
100,80,15.500000,218
110,5,11.200000,3483
110,10,3.000000,1894
110,20,3.600000,944
110,30,6.300000,643
110,40,11.100000,441
110,50,12.600000,355
110,60,15.200000,307
110,70,14.200000,254
110,80,15.400000,230
120,5,14.900000,3662
120,10,2.100000,2071
120,20,2.300000,1060
120,30,9.900000,708
120,40,8.100000,486
120,50,13.700000,387
120,60,16.799999,323
120,70,13.700000,278
120,80,17.500000,253
150,5,17.500000,4585
150,10,1.900000,2548
150,20,4.700000,1277
150,30,8.000000,826
150,40,8.900000,618
150,50,10.300000,473
150,60,12.800000,408
150,70,15.100000,343
150,80,19.400000,298
180,5,11.300000,5671
180,10,2.700000,3010
180,20,3.400000,1498
180,30,5.600000,1050
180,40,10.400000,744
180,50,7.500000,610
180,60,13.300000,480
180,70,17.299999,416
180,80,17.200001,375
210,5,12.600000,6704
210,10,2.000000,3517
210,20,6.200000,1760
210,30,6.500000,1203
210,40,8.700000,851
210,50,9.200000,687
210,60,9.800000,565
210,70,11.500000,497
210,80,15.600000,432
240,5,13.800000,7617
240,10,2.000000,3997
240,20,2.900000,2065
240,30,6.500000,1317
240,40,6.500000,977
240,50,11.900000,785
240,60,9.600000,647
240,70,11.300000,565
240,80,14.600000,489
270,5,12.900000,8601
270,10,2.700000,4509
270,20,4.400000,2264
270,30,5.700000,1529
270,40,7.500000,1111
270,50,10.100000,882
270,60,13.200000,729
270,70,11.000000,630
270,80,15.800000,533
300,5,10.100000,9690
300,10,1.400000,4995
300,20,3.600000,2489
300,30,6.500000,1674
300,40,9.800000,1220
300,50,8.000000,973
300,60,12.400000,817
300,70,12.300000,699
300,80,15.200000,611
330,5,10.400000,10644
330,10,2.900000,5462
330,20,4.400000,2734
330,30,7.000000,1792
330,40,10.000000,1328
330,50,8.900000,1069
330,60,11.300000,899
330,70,12.900000,774
330,80,14.700000,671
360,5,10.900000,11511
360,10,1.500000,5957
360,20,3.400000,2981
360,30,6.300000,1979
360,40,7.600000,1454
360,50,10.300000,1173
360,60,15.100000,978
360,70,14.200000,848
360,80,16.500000,734
480,5,11.800000,15428
480,10,1.500000,7915
480,20,3.400000,3984
480,30,6.400000,2645
480,40,8.300000,1939
480,50,9.200000,1572
480,60,13.300000,1303
480,70,11.400000,1125
480,80,14.900000,986
600,5,9.400000,19368
600,10,1.400000,9859
600,20,2.600000,4942
600,30,4.200000,3307
600,40,6.300000,2435
600,50,10.700000,1950
600,60,10.500000,1627
600,70,13.500000,1399
600,80,13.900000,1225
720,5,11.900000,23140
720,10,2.000000,11751
720,20,3.700000,5874
720,30,6.600000,3937
720,40,8.200000,2916
720,50,12.400000,2338
720,60,14.100000,1945
720,70,14.100000,1675
720,80,14.500000,1461
